ji	wheatear	䳭
ao	used in 鶆䴈|𱉵𬸩[lai2 ao3]	𬸩
huan	spoonbill	鹮
huanzuiyu	ibisbill	鹮嘴鹬
fu	variant of 麩|麸[fu1]	麸
zhi	old variant of 蜘[zhi1]	䵹
nu	old variant of 衄[nu:4]	衄
ti	variant of 嚏[ti4]	䶑
yi	one	一
yiyi	one by one	一一
yiyiduiying	one-to-one correspondence	一一对应
yiyiyingshe	bijective map	一一映射
yidingbushi	illiterate	一丁不识
yidingdian	a tiny bit	一丁点
yixia	a bit	一下
yixiar	erhua form of 一下[yi1 xia4]	一下儿
yixiazi	once	一下子
yibuxiaoxin	be a little bit careless	一不小心
yishi	generation	一世
yiqiuzhihe	jackals of the same tribe	一丘之貉
yidiudiu	a tiny bit	一丢丢
yibing	variant of 一併|一并[yi1 bing4]	一并
yizhiweishen	once is more than enough	一之为甚
yiganerjing	thoroughly	一干二净
yishiwucheng	have achieved nothing	一事无成
yier	one or two	一二
yiwuyishi	lit. count by fives and tens	一五一十
yixie	some	一些
yijiebuqu	not even take a penny	一介不取
yidai	an era	一代
yiyiguanzhi	consistently upheld	一以贯之
yizuo	first author	一作
yibing	lump together	一并
yilai	firstly, ...	一来
yilaierqu	gradually	一来二去
yige	a	一个
yigezhongguozhengce	one-China policy	一个中国政策
yigeren	by oneself	一个人
yigege	a number of	一个个
yigejin	continuously	一个劲
yigeban	one and a half	一个半
yigetiannanyigedibei	live miles apart	一个天南，一个地北
yigejiangjunyigeling	lit. one general, one order	一个将军一个令
yigejieyige	one by one	一个接一个
yigeyang	the same	一个样
yigeluoboyigekeng	lit. every turnip to its hole	一个萝卜一个坑
yicehua	lateralization	一侧化
yichuanshishichuanbai	spread like wildfire	一传十，十传百
yijia	monovalent	一价
yiyuan	single-variable	一元
yiyuanhua	integration	一元化
yiyuanfushi	a new year begins	一元复始
yiyuanchun	monohydric alcohol	一元醇
yigong	in total	一共
yizai	repeatedly	一再
yizhun	variant of 一準|一准[yi1 zhun3]	一准
yidaoliangduan	make a clean break with	一刀两断
yidaoqie	lit. to cut all at one stroke	一刀切
yifenyihao	the tiniest bit	一分一毫
yifenweier	one divides into two	一分为二
yifenshu	rare	一分熟
yifengengyunyifenshouhuo	you reap what you sow	一分耕耘，一分收获
yifenqianyifenhuo	you get what you pay for	一分钱一分货
yifenqianliangfenhuo	high quality at bargain price	一分钱两分货
yiqie	everything	一切
yiqierujiu	everything as before	一切如旧
yiqiexian	all risks	一切险
yike	a quarter of an hour	一刻
yikeqianjin	time is gold	一刻千金
yikezhong	a quarter of an hour	一刻钟
yize	on the one hand	一则
yichana	a moment	一刹那
yidongbudong	motionless	一动不动
yilaoyongyi	get sth done once and for all	一劳永逸
yichi	spoonful	一匙
yiqianlingyiye	One Thousand and One Nights	一千零一夜
yiban	half	一半
yibantian	in a day or two	一半天
yiqubuhui	gone forever	一去不回
yiqubufufan	gone forever	一去不复返
yiquwuyingzong	gone without a trace	一去无影踪
yikou	readily	一口
yikoujia	fixed price	一口价
yikouyaoding	arbitrarily assert	一口咬定
yikouqi	one breath	一口气
yiju	a line of verse	一句
yijuhua	in a word	一句话
yitong	together	一同
yituweikuai	get sth off one's chest	一吐为快
yizhou	one week	一周
yiwei	persistently	一味
yihubaiying	elict an enthusiastic response	一呼百应
yimingwuhu	die	一命呜呼
yipin	superb	一品
yipinhong	poinsettia	一品红
yihongersan	disperse in confusion	一哄而散
yihongerqi	rush into action	一哄而起
yiyuan	a member	一员
yige	top-ranked male	一哥
yichangyihe	echo one another	一唱一和
yichangsantan	concise yet deeply evocative	一唱三叹
yihuishi	one and the same	一回事
yiguoliangzhi	one country, two systems	一国两制
yituanluanzao	a chaotic mess	一团乱糟
yituanqihei	pitch-dark	一团漆黑
yituanhuo	fireball	一团火
