ciwenhua	subculture	次文化
cifang	nth power	次方
cifangyan	subdialect	次方言
ciyu	second after	次于
ciri	next day	次日
cizhengzhuang	smart casual attire	次正装
cilusuan	hypochlorous acid HOCl	次氯酸
cixiusuan	hypobromous acid HOBr	次溴酸
cisheng	derivative	次生
cishenglin	secondary growth of forest	次生林
cishengzaihai	secondary disaster	次生灾害
cidi	order	次第
cideng	second-class	次等
ciji	secondary	次级
cijifangwuxindaiweiji	subprime mortgage crisis	次级房屋信贷危机
cijidiyadaikuan	subprime mortgage	次级抵押贷款
cijidaikuan	subprime lending	次级贷款
cijing	non-canonical text	次经
cishengbo	infrasonic wave	次声波
ciwo	secondary bedroom	次卧
ciyao	secondary	次要
cihuo	inferior goods	次货
cidai	subprime lending	次贷
cidaiweiji	subprime mortgage crisis	次贷危机
cizhongliangji	middle heavyweight	次重量级
cizhang	deputy chief	次长
xin	happy	欣
xinxi	happy	欣喜
xinxiruokuang	be wild with joy	欣喜若狂
xinxing	delighted	欣幸
xinwei	be gratified	欣慰
xinxinxiangrong	flourishing	欣欣向荣
xinran	gladly	欣然
xinshang	appreciate	欣赏
xinfeng	on the happy occasion of	欣逢
xu	blow or breathe upon	欨
kai	cough	欬
he	variant of 喝[he1]	欱
yu	wish for	欲
yuxianyusi	experience sheer ecstasy	欲仙欲死
yunu	sex-crazed woman	欲女
yunian	desire	欲念
yuqiu	desire	欲求
yuhai	ocean of lust	欲海
yudi	replete	欲滴
yujue	heartbroken	欲绝
yujing	Kama Sutra	欲经
yubabuneng	want to stop but can't	欲罢不能
yusuzebuda	haste makes waste	欲速则不达
kuan	treat well	欵
shuo	suck	欶
xi	sob	欷
xixu	variant of 唏噓|唏嘘[xi1 xu1]	欷吁
xixu	sob	欷歔
ai	rebuke loudly	欸
ei	hey	欸
ei	eh	欸
ei	hmm	欸
ei	yes	欸
yi	interjection	欹
qi	take unfair advantage of	欺
qirentaishen	bully intolerably	欺人太甚
qiwu	bully	欺侮
qiling	bully and humiliate	欺凌
qijunwangshang	dupe one's sovereign	欺君罔上
qihong	dupe	欺哄
qiya	bully	欺压
qisheng	cheat strangers	欺生
qinanbanu	oppress the people	欺男霸女
qiman	fool	欺瞒
qimeng	deceive	欺蒙
qizha	cheat	欺诈
qizhazhe	deceiver	欺诈者
qifu	bully	欺负
qiru	humiliate	欺辱
qishuangaoxue	cold-resistant	欺霜傲雪
qipian	deceive	欺骗
qipiancan	cheat meal	欺骗餐
chua	crashing sound	欻
xu	suddenly	欻
chi	drink	欼
qin	surname Qin	钦
qin	respect	钦
qinyang	admire and respect	钦仰
qinpei	admire	钦佩
qinbei	see 欽北區|钦北区[Qin1 bei3 Qu1]	钦北
qinnan	see 欽南區|钦南区[Qin1 nan2 Qu1]	钦南
qinming	Imperial order or edict	钦命
qinding	authorize	钦定
qinzhou	see 欽州市|钦州市[Qin1 zhou1 Shi4]	钦州
qinchai	imperial envoy	钦差
qinyi	admire and respect	钦挹
qinjing	admire and respect	钦敬
qinxian	admire	钦羡
qinci	bestow	钦赐
kuan	section	款
kuanfu	obey	款伏
kuanr	haughty manner	款儿
kuanzi	a sum of money	款子
kuanyan	host a banquet	款宴
kuanshi	pattern	款式
kuanshi	elegant	款式
kuandai	entertain	款待
kuanfu	obey	款服
kuankuan	leisurely	款款
kuanbu	walk slowly	款步
kuanduan	pony	款段
kuanxiang	funds	款项
kan	discontented with oneself	欿
kanran	dissatisfied	欿然
kan	unsatisfied	歁
sha	drink	歃
xin	pleased	歆
xie	rest	歇
xieleba	give me a break!	歇了吧
xiesu	lodge	歇宿
xieshanding	hip-and-gable roof	歇山顶
xiehouyu	anapodoton	歇后语
xiexin	drop the matter	歇心
xiexi	have a rest	歇息
xieshou	rest	歇手
xiesidili	hysteria	歇斯底里
xieye	close down	歇业
xieqi	have a break	歇气
xieluokefuermosi	Sherlock Holmes	歇洛克·福尔摩斯
xiejiao	stop on the way for a rest	歇脚
xiehuang	large warship	歇艎
xiecai	stop functioning	歇菜
xieding	be balding	歇顶
yu	songs	歈
qian	apologize	歉
qianyi	apology	歉意
qianshou	crop failure	歉收
qianjiu	remorseful	歉疚
xiao	vapor	歊
ge	song	歌
ger	song	歌儿
geliya	Goliath	歌利亚
geju	Western opera	歌剧
gejuyuan	opera house	歌剧院
gegongsongde	sing sb's praises	歌功颂德
gehou	diva	歌后
geyin	sing	歌吟
gechang	sing	歌唱
gechangjia	singer	歌唱家
gechangsai	song contest	歌唱赛
gehou	singing voice	歌喉
gedan	playlist	歌单
getan	singing stage	歌坛
genu	female singer	歌女
geji	female singer	歌姬
gezi	song	歌子
geting	karaoke hall	歌厅
gede	sing the praises of sb	歌德
geshou	singer	歌手
gexing	singing star	歌星
gequ	song	歌曲
gebailing	singing bush lark	歌百灵
gedie	disc	歌碟
geluoxi	Colossia	歌罗西
gesheng	singing voice	歌声
gewu	singing and dancing	歌舞
gewuji	kabuki	歌舞伎
gewutuan	song and dance troupe	歌舞团
geci	song lyric	歌词
geyong	sing	歌咏
geshidayoulun	Costa Cruises	歌诗达邮轮
geyao	folksong	歌谣
gemi	fan of a singer	歌迷
gesong	sing the praises of	歌颂
tan	variant of 嘆|叹[tan4]	叹
ou	Europe	欧
ou	ohm	欧
oule	okay	欧了
ouya	Europe and Asia	欧亚
ouyaxique	Eurasian magpie	欧亚喜鹊
ouyadalu	Eurasia	欧亚大陆
ouyahongweiqu	common redstart	欧亚红尾鸲
ouyaqu	European robin	欧亚鸲
ouyakuang	common buzzard	欧亚𫛭
ouren	Eugene	欧仁
oupeike	OPEC	欧佩克
ouyuan	euro	欧元
ouyuanqu	Eurozone	欧元区
ouguan	UEFA Champions League	欧冠
oufen	euro cent	欧分
oubao	European-style bread	欧包
oujisang	older man	欧吉桑
oumiyagei	gift given when visiting sb	欧咪呀给
ouyeying	European nightjar	欧夜鹰
oumu	ohm	欧姆
oumudan	omelette	欧姆蛋
oumulong	Omron Corporation	欧姆龙
oubao	Opel	欧宝
ouni	older sister	欧尼
ouba	older brother	欧巴
oubasang	older female	欧巴桑
oushi	in the European style	欧式
oushijihe	Euclidean geometry	欧式几何
ouwen	Owen	欧文
ouwensi	Owens	欧文斯
oubanjiu	European turtle dove	欧斑鸠
oubolin	Oberlin	欧柏林
ouliuying	willow warbler	欧柳莺
ouzha	medlar	欧楂
ouzhen	common hazel	欧榛
ougedong	song thrush	欧歌鸫
oushi	Euclid	欧氏
oushijihe	Euclidean geometry	欧氏几何
ouqi	very good luck	欧气
oubo	opal	欧泊
ouzhou	Europe	欧洲
ouzhouzhongyangyinhang	European Central Bank	欧洲中央银行
ouzhouzhixing	Eurostar	欧洲之星
ouzhouren	European	欧洲人
ouzhougongtongshichang	European common market	欧洲共同市场
ouzhouxingjingzuzhi	Europol	欧洲刑警组织
ouzhoudalu	continent of Europe	欧洲大陆
ouzhoushanyang	European poplar	欧洲山杨
ouzhoubei	European Cup	欧洲杯
ouzhougechangdasai	Eurovision Song Contest	欧洲歌唱大赛
ouzhoufayuan	European Court of Justice	欧洲法院
ouzhoulishihui	European Council	欧洲理事会
ouzhoulianmeng	European Union	欧洲联盟
ouzhouhangtianju	European Space Agency	欧洲航天局
ouzhouyihui	European Parliament	欧洲议会
ouzhoufangfeng	parsnip	欧洲防风
oupai	breasts	欧派
oudanggui	lovage	欧当归
oumeng	European Union	欧盟
oumengweiyuanhui	Commission of European Union	欧盟委员会
oushiheng	Eurasian stone-curlew	欧石鸻
oumiga	omega	欧米伽
ounaxisi	see 奧納西斯|奥纳西斯[Ao4 na4 xi1 si1]	欧纳西斯
ouluoba	Europe	欧罗巴
ouluobazhou	Europe	欧罗巴洲
oumei	Europe and America	欧美
ouqin	parsley	欧芹
ouruola	Aurora, Roman goddess of dawn	欧若拉
oulaiya	L'Oréal	欧莱雅
oushiluo	cumin	欧莳萝
oulei	au lait	欧蕾
oudieyu	plaice	欧蝶鱼
ouzhu	PIGS	欧猪
oumaiga	oh my God!	欧买嘎
oucheqian	psyllium	欧车前
oujinbanheng	European golden plover	欧金斑鸻
oujinchique	European greenfinch	欧金翅雀
oulu	continental Europe	欧陆
ouyang	two-character surname Ouyang	欧阳
ouyangyuqian	Ouyang Yuqian , Chinese actor	欧阳予倩
ouge	stock dove	欧鸽
huan	old variant of 歡|欢[huan1]	歓
xu	snort	歔
pen	old variant of 噴|喷[pen1]	歕
xiao	old variant of 嘯|啸[xiao4]	歗
xu	variant of 欻[xu1]	歘
she	used in 歙縣|歙县[She4 Xian4]	歙
han	desire	歛
lian	variant of 斂|敛[lian3]	歛
chuo	drink	歠
huan	joyous	欢
huanshi	lively	欢势
huanhu	cheer for	欢呼
huanhuqueyue	cheering excitedly	欢呼雀跃
huanxi	happy	欢喜
huanxiyuanjia	quarrelsome but loving couple	欢喜冤家
huantianxidi	delighted	欢天喜地
huanyu	amuse	欢娱
huanyan	feast	欢宴
huanrong	happy	欢容
huanshi	lively	欢实
huandu	merrily spend	欢度
huanxin	favor	欢心
huankuai	cheerful and lighthearted	欢快
huanbian	happy	欢忭
huanyue	happiness	欢悦
huanyu	happy	欢愉
huanqing	celebrate	欢庆
huanchang	happy	欢畅
huanle	gaiety	欢乐
huanleshiguang	happy time	欢乐时光
huanxin	elated	欢欣
huanxinqueyue	elated	欢欣雀跃
huanxinguwu	elated and excited	欢欣鼓舞
huanhuanxixi	happily	欢欢喜喜
huanxiao	laugh happily	欢笑
huanju	get together socially	欢聚
huanjuyitang	gather happily under one roof	欢聚一堂
huansheng	cheers	欢声
huanshengxiaoyu	cheers and laughter	欢声笑语
huanying	welcome	欢迎
huanyingguanglin	Welcome!	欢迎光临
huansong	see off	欢送
huansonghui	farewell party	欢送会
huanteng	jubilation	欢腾
zhi	stop	止
zhike	suppress coughing	止咳
zhiketangjiang	cough suppressant syrup	止咳糖浆
zhijing	limit	止境
zhixi	cease	止息
zhisun	stop-loss	止损
zhisundan	stop-loss order	止损单
zhisundian	stop-loss point	止损点
zhixie	stop	止歇
zhibu	halt	止步
zhihanji	anti-perspirant	止汗剂
zhihua	prevent slipping	止滑
zhitengpian	painkiller	止疼片
zhitong	relieve pain	止痛
zhitongji	an analgesic	止痛剂
zhitongfa	method of relieving pain	止痛法
zhitongpian	painkiller	止痛片
zhitongyao	painkiller	止痛药
zhixue	staunch	止血
zhixuedian	dressing	止血垫
zhixueshuan	plug to stop bleeding	止血栓
zhixuetie	Band-Aid	止血贴
zhinaoanniu	snooze button	止闹按钮
zhidian	dead point	止点
zheng	first month of the lunar year	正
zheng	straight	正
zhengdingmi	butyl ether	正丁醚
zhengzhong	middle	正中
zhengzhongxiahuai	exactly what one wants	正中下怀
zhengzhongyaohai	hit the nail on the head	正中要害
zhengzhu	central figure	正主
zhengshi	one's proper business	正事
zhengjiao	orthogonality	正交
zhengjiaoqun	orthogonal group	正交群
zhengren	upstanding person	正人
zhengrenjunzi	upright gentleman	正人君子
zhengzhi	just at the time of	正值
zhengzhuan	main subject of long novel	正传
zhengerbaban	earnest	正儿八板
zhengerbajing	serious	正儿八经
zhengliubianxing	regular hexagon	正六边形
zhengqie	tangent	正切
zhengze	regular	正则
zhengzebiaodashi	regular expression	正则表达式
zhengfujiashi	pilot and copilot	正副驾驶
zhengge	secant , written sec θ	正割
zhengju	bourgeois tragedy	正剧
zhenghua	normalization	正化
zhengwu	midday	正午
zhengbanzhou	positive semiaxis	正半轴
zhengfan	positive and negative	正反
zhengfanliangmian	two-way	正反两面
zhengfankui	positive feedback	正反馈
zhengxiang	forward	正向
zhengxiangli	normal force	正向力
zhengpin	certified goods	正品
zhengzai	be in the process of	正在
zhengxingbiaoben	holotype	正型标本
zhengduobaoxing	convex polytope	正多胞形
zhengduomianti	regular polyhedron	正多面体
zhengdaguangming	just and honorable	正大光明
zhengtai	young, cute boy	正太
zhengtaikong	shotacon	正太控
zhenghao	just	正好
zhengru	just as	正如
zhengmei	beautiful woman	正妹
zhengqi	primary wife	正妻
zhengzi	positron	正子
zhengzifa	orthography	正字法
zhengan	see 正安縣|正安县[Zheng4 an1 Xian4]	正安
zhengzong	orthodox school	正宗
zhengshi	primary wife	正室
zhenggongniangniang	empress	正宫娘娘
zhengdui	directly facing	正对
zhengqiao	just by chance	正巧
zhengchang	normal	正常
zhengchanghua	normalization	正常化
zhengchanggongzuo	normal operation	正常工作
zhengchangchengben	normal cost	正常成本
zhengchangjunqun	microbiome	正常菌群
zhengshi	formal	正式
zhengshitoupiao	formal vote	正式投票
zhengxian	sine	正弦
zhengxiandingli	law of sines	正弦定理
zhengxianxing	sinusoidal	正弦形
zhengxianbo	sine wave	正弦波
zhengnian	correct mindfulness	正念
zhengyi	sense	正意
zhengtaifenbu	normal distribution	正态分布
zhengfang	central building	正房
zhengtouying	orthogonal projection	正投影
zhengjiao	lit. true religion	正教
zhengzhengshu	positive integer	正整数
zhengshu	positive number	正数
zhengwen	main text	正文
zhengduanceng	normal fault	正断层
zhengfangxiang	forward direction	正方向
zhengfangxing	square	正方形
zhengfangti	a rectangular parallelepiped	正方体
zhengri	the day	正日
zhengshi	is precisely	正是
zhengshi	timing	正时
zhengshu	regular script	正书
zhengyue	first month of the lunar year	正月
zhengben	original	正本
zhengye	one's regular job	正业
zhengji	positive electrode	正极
zhengkai	regular script	正楷
zhengmobiaoben	holotype	正模标本
zhengzheng	neat	正正
zhengbu	goose-step	正步
zhengbuzou	march at parade step	正步走
zhengdian	main hall of a Buddhist temple	正殿
zhengbi	direct ratio	正比
zhengbili	direct proportionality	正比例
zhengqi	healthy atmosphere	正气
zhengfa	execute	正法
zhengpai	upright	正派
zhenggang	authentic	正港
zhengwuqiong	positive infinity	正无穷
zhengran	in the process of	正然
zhengban	genuine	正版
zhengpai	officially recognized	正牌
zhengyong	correct usage	正用
zhengdang	timely	正当
zhengdang	honest	正当
zhengdangzhong	dead center	正当中
zhengdangnian	be in the prime of life	正当年
zhengdangxing	legitimacy	正当性
zhengdangshi	the right time for sth	正当时
zhengdangliyou	proper reason	正当理由
zhengdangfangwei	reasonable self-defense	正当防卫
zhengji	orthodontics	正畸
zhengzhi	upright	正直
zhengxiangguan	positive correlation	正相关
zhengyan	facing directly	正眼
zhengque	correct	正确
zhengtong	orthodoxy	正统
zhengjing	decent	正经
zhengjingshi	an important matter	正经事
zhengjingbabai	very serious	正经八百
zhengyi	justice	正义
zhengyidouzheng	righteous struggle	正义斗争
zhengyimoren	sanctimonious person	正义魔人
zhengyidang	Justicialist Party	正义党
zhengzhi	main job	正职
zhengnengliang	positive energy	正能量
zhengse	stern	正色
zhengzhao	head-on	正着
zhenghao	plus sign	正号
zhengzhuang	formal dress	正装
zhengjinweizuo	sit upright and still	正襟危坐
zhengyao	be just about to	正要
zhenggui	regular	正规
zhengguijiaoyu	regular education	正规教育
zhengguijun	regular army	正规军
zhengshi	face squarely	正视
zhengjiao	positive angle	正角
zhengjue	good guy	正角
zhengjie	right solution	正解
zhengyanlise	solemn in word and countenance	正言厉色
zhengcifa	orthography	正词法
zhengwu	true or false?	正误
zhengwubiao	corrigenda	正误表
zhengxiang	be just like	正象
zhengfu	positive and negative	正负
zhengfuhao	plus or minus sign	正负号
zhengfudianzi	positrons and electrons	正负电子
zhenglu	the right way	正路
zhenggui	the right track	正轨
zhengtu	see 正路[zheng4 lu4]	正途
zhengfengqishi	come at the right time	正逢其时
zhengdao	the correct path	正道
zhengchangshi	orthoclase KAlSi3O8	正长石
zhengmen	main entrance	正门
zhenglizi	positive ion	正离子
zhengdian	positive charge	正电
zhengdianzi	positron	正电子
zhengdianzizhaosheduancengsheying	positrion emission tomography	正电子照射断层摄影
zhengdianzifashecengxi	positron emission tomography	正电子发射层析
zhengdianzifasheduancengzhaoxiangshu	positron emission tomography	正电子发射断层照相术
zhengmian	front	正面
zhengyin	standard pronunciation	正音
zhengti	main topic	正题
zhengyanlise	solemn in countenance	正颜厉色
zhengcan	meal	正餐
zhengjiashi	pilot-in-command	正驾驶
zhenggu	bonesetting	正骨
zhengti	standard form	正体
zhengdian	on time	正点
ci	this	此
ciyishibiyishi	that was then, this is now	此一时，彼一时
cishi	this matter	此事
cifubiqi	see 此起彼伏[ci3 qi3 bi3 fu2]	此伏彼起
cike	this moment	此刻
ciqian	before this	此前
cidi	here	此地
ciwai	besides	此外
cihou	after this	此后
cishi	now	此时
cishicike	at this very moment	此时此刻
cishicidi	here and now	此时此地
cici	this time	此次
cizhijingli	respectfully yours	此致敬礼
cichu	this place	此处
cixing	this trip	此行
ciyanfeixu	that is true	此言非虚
cihuazenjiang	How do you mean?	此话怎讲
ciqibifu	up here, down there	此起彼伏
ciqibiluo	rise and fall in succession	此起彼落
cilubutong	this road is blocked	此路不通
cidao	such matters	此道
cijian	here	此间
ciji	then	此际
cilei	this kind	此类
bu	surname Bu	步
bu	a step	步
bufa	pace	步伐
buru	step into	步入
bubing	infantry	步兵
bushao	sentry	步哨
buzi	step	步子
bulu	gait	步履
buluweijian	have difficulty walking	步履维艰
bulupanshan	walk unsteadily	步履蹒跚
butai	gait	步态
butaipanshan	walk unsteadily	步态蹒跚
bucao	foot drill	步操
buyue	stroll beneath the moon	步月
buqiang	rifle	步枪
bubu	step by step	步步
bubugaosheng	climb step by step	步步高升
buwu	walk in someone's steps	步武
bufa	footwork	步法
buce	pacing	步测
buli	walking plow	步犁
budenggongyu	walk-up apartment	步登公寓
bugangtadou	worship the astral deities	步罡踏斗
buxing	go on foot	步行
buxingqu	pedestrian area	步行区
buxingzhe	pedestrian	步行者
buxingchong	ground beetle	步行虫
buxingjie	car-free zone	步行街
buhuaji	walkie-talkie	步话机
budiao	gait	步调
budiaoyizhi	be united in action	步调一致
buzu	ambulatory leg	步足
bunian	palanquin	步辇
bujinzhi	step by step system	步进制
bujinmada	stepper motor	步进马达
budao	walking path	步道
buzhou	procedure	步骤
wu	surname Wu	武
wu	martial	武
wuxianzuo	Hercules	武仙座
wuhou	see 武侯區|武侯区[Wu3 hou2 Qu1]	武侯
wuxia	martial arts chivalry	武侠
wuxiaxiaoshuo	a martial arts  novel	武侠小说
wuli	military force	武力
wugong	see 武功縣|武功县[Wu3 gong1 Xian4]	武功
wugong	martial art	武功
wugongshan	Mt Wugong in Jiangxi	武功山
wuyong	military skills	武勇
wusheng	see 武勝縣|武胜县[Wu3 sheng4 Xian4]	武胜
wuqi	weapon	武器
wuqijinyun	embargo on arms sale	武器禁运
wuqixitong	weapon system	武器系统
wuqiji	weapons-grade	武器级
wucheng	see 武城縣|武城县[Wu3 cheng2 Xian4]	武城
wutan	martial arts circles	武坛
wushi	warrior	武士
wushidao	katana	武士刀
wuyishan	Mt Wuyi in Fujian	武夷山
wuwei	see 武威市[Wu3 wei1 Shi4]	武威
wuan	see 武安市[Wu3 an1 Shi4]	武安
wuguan	military official	武官
wuxuan	see 武宣縣|武宣县[Wu3 xuan1 Xian4]	武宣
wuning	see 武寧縣|武宁县[Wu3 ning2 Xian4]	武宁
wujiang	general	武将
wushan	see 武山縣|武山县[Wu3 shan1 Xian4]	武山
wushanji	see 烏骨雞|乌骨鸡[wu1 gu3 ji1]	武山鸡
wugang	see 武岡市|武冈市[Wu3 gang1 Shi4]	武冈
wuchuan	see 武川縣|武川县[Wu3 chuan1 Xian4]	武川
wuping	see 武平縣|武平县[Wu3 ping2 Xian4]	武平
wuku	arsenal	武库
wuqiang	see 武強縣|武强县[Wu3 qiang2 Xian4]	武强
wude	ethics	武德
wudapian	action movie	武打片
wuzhi	stunt coordinator	武指
wuduan	arbitrary	武断
wuchang	see 武昌區|武昌区[Wu3 chang1 Qu1]	武昌
wulin	martial arts  circles	武林
wujiang	see 武江區|武江区[Wu3 jiang1 Qu1]	武江
wuhan	see 武漢市|武汉市[Wu3 han4 Shi4]	武汉
wuhandaxue	Wuhan University	武汉大学
wuhangangtiegongsi	Wuhan Iron and Steel	武汉钢铁公司
wutian	Takeda	武田
wulue	military strategy	武略
wuzhi	attack helicopter	武直
wuxue	see 武穴市[Wu3 xue2 Shi4]	武穴
wutong	unify by using military force	武统
wuyi	see 武義縣|武义县[Wu3 yi4 Xian4]	武义
wusheng	the Saint of War	武圣
wuzhi	military official	武职
wuyi	martial art	武艺
wuyigaoqiang	highly skilled in martial arts	武艺高强
wushu	military skill or technique	武术
wuzhuang	arms	武装
wuzhuangfenzi	armed fighter	武装分子
wuzhuangliliang	armed force	武装力量
wuzhuangchongtu	armed conflict	武装冲突
wuzhuangbudui	armed forces	武装部队
wujing	armed police	武警
wujingzhanshi	armed fighters	武警战士
wujingbudui	People's Armed Police	武警部队
wujin	see 武進區|武进区[Wu3 jin4 Qu1]	武进
wuyi	see 武邑縣|武邑县[Wu3 yi4 Xian4]	武邑
wudu	see 武都區|武都区[Wu3 du1 Qu1]	武都
wudushi	Wudu city in Gansu	武都市
wuxiang	see 武鄉縣|武乡县[Wu3 xiang1 Xian4]	武乡
wuzhi	see 武陟縣|武陟县[Wu3 zhi4 Xian4]	武陟
wuling	see 武陵區|武陵区[Wu3 ling2 Qu1]	武陵
wulong	see 武隆區|武隆区[Wu3 long2 Qu1]	武隆
wuguan	martial arts school	武馆
wuming	see 武鳴區|武鸣区[Wu3 ming2 Qu1]	武鸣
qi	divergent	歧
qiyi	difference	歧异
qiyi	ambiguity	歧义
qijian	disagreement	歧见
qishi	discriminate against	歧视
qilu	divergent path	歧路
qitu	fork in a road	歧途
bu	old variant of 步[bu4]	歨
bu	old variant of 步[bu4]	歩
wai	askew	歪
wai	sprain	歪
waizui	twisted mouth	歪嘴
waidazhengzhao	succeed by a lucky stroke	歪打正着
waixie	crooked	歪斜
waiqu	distort	歪曲
waiguoren	foreigner	歪果仁
waiwainiuniu	crooked	歪歪扭扭
waiwaixiexie	shuddering	歪歪斜斜
waili	fallacious reasoning	歪理
waigualiezao	ugly	歪瓜裂枣
waimenxiedao	dishonest practices	歪门邪道
waifeng	unhealthy trend	歪风
waifengxieqi	noxious winds, evil influences	歪风邪气
waidianzi	illegal device	歪点子
ju	old variant of 距[ju4]	歫
se	old variant of 澀|涩[se4]	歮
se	old variant of 澀|涩[se4]	歰
sui	classifier for years	岁
suibuwoyu	Time and tide wait for no man	岁不我与
suixiu	annual repairs and maintenance	岁修
suifeng	annual salary	岁俸
suiru	annual revenue	岁入
suichu	annual expenditure	岁出
suichu	beginning of the year	岁初
suicha	precession	岁差
suixu	succession of seasons	岁序
suishu	age	岁数
suishi	season	岁时
suimu	end of the year	岁暮
suiyue	years	岁月
suiyuerusuo	time flies	岁月如梭
suiyueruliu	the passage of the years	岁月如流
suiyuezhengrong	eventful years	岁月峥嵘
suiyueliushi	as time goes by	岁月流逝
suimo	end of the year	岁末
suiji	annual budget	岁计
suilan	late season of a year	岁阑
suishou	start of the year	岁首
li	old variant of 歷|历[li4]	历
li	experience	历
lixia	see 歷下區|历下区[Li4 xia4 Qu1]	历下
lidai	successive generations	历代
lidaizhishang	First book of Chronicles	历代志上
lidaizhixia	Second book of Chronicles	历代志下
liren	hold the successive posts of	历任
lilai	always	历来
lishi	history	历史
lishishang	historical	历史上
lishishijian	historical incident	历史事件
lishirenwu	historical person	历史人物
lishiju	historical drama	历史剧
lishibowuguan	historical museum	历史博物馆
lishiweiwuzhuyi	historical materialism	历史唯物主义
lishixue	history	历史学
lishixuejia	historian	历史学家
lishijia	historian	历史家
lishixing	historic	历史性
lishiyoujiu	long-established	历史悠久
lishiyiyi	historic significance	历史意义
lishichengben	historic cost	历史成本
lishixingao	all-time high	历史新高
lishishiqi	historical period	历史时期
lishiyange	historical development	历史沿革
lishibanben	historical version	历史版本
lishibeijing	historical background	历史背景
lishiguandian	historical standpoint	历史观点
lishiyichan	heritage	历史遗产
lishiyiji	historic site	历史遗迹
lishichongyan	history repeats itself	历史重演
licheng	see 歷城區|历城区[Li4 cheng2 Qu1]	历城
lijie	all previous	历届
linian	over the years	历年
lishu	enumerate	历数
lishi	last	历时
lici	each	历次
lilikeshu	each one distinguishable	历历可数
lilizaimu	vivid in one's mind	历历在目
lifa	variant of 曆法|历法 calendar	历法
lijin	have experienced a lot of	历尽
licheng	course	历程
lijing	experience	历经
lilian	learn through experience	历练
lixian	experience adventures	历险
gui	surname Gui	归
gui	return	归
guiwei	put sth back where it belongs	归位
guibing	put together	归并
guilai	return	归来
guiyi	convert to	归依
guiru	assign	归入
guigong	commandeer	归公
guigong	give credit	归功
guihua	naturalization	归化
guikou	return to one's original trade	归口
guixiang	turn toward	归向
guijiu	put the blame on	归咎
guiyin	attribute	归因
guiyinlilun	attribution theory	归因理论
guiguo	go home	归国
guitian	die	归天
guisu	place to return to	归宿
guining	visit one's parents	归宁
guishu	belong to	归属
guishugan	sense of belonging	归属感
guishuquan	right of attribution	归属权
guixin	converted to	归心
guilong	gather	归拢
guiyu	belong to	归于
guiqi	one's return date	归期
guigen	return home	归根
guigendaodi	after all	归根到底
guigenjiudi	in the final analysis	归根究底
guigenjiedi	in the final analysis	归根结底
guigenjiedi	ultimately	归根结蒂
guian	bring to justice	归案
guidang	file away	归档
guizheng	return to the right path	归正
guimu	return from pasture	归牧
guixing	go home for a visit	归省
guizhen	die	归真
guicheng	return trip	归程
guina	sum up	归纳
guinatuili	inductive reasoning	归纳推理
guinafa	induction	归纳法
guijie	sum up	归结
guijing	channel tropism	归经
guizui	blame sb	归罪
guizhi	put  back	归置
guixi	die	归西
guimiufa	reductio ad absurdum	归谬法
guilu	the way back	归路
guitu	the way back	归途
guihuan	return sth	归还
guifu	realign one's allegiance	归附
guichu	long division	归除
guidui	return to one's unit	归队
guiling	reset to zero	归零
guilingdi	Ground Zero	归零地
guilei	classify	归类
dai	bad	歹
dairen	bad person	歹人
daishi	excuse me	歹势
daitu	evildoer	歹徒
daiyi	evil intent	歹意
daidu	vicious	歹毒
dai	old variant of 歹[dai3]	歺
si	die	死
sibuliao	Portulaca Sundial	死不了
sibuyaolian	know no shame	死不要脸
sizhongqiusheng	seek life in death	死中求生
siqibailai	pester someone again and again	死乞白赖
siwang	die	死亡
siwangrenshu	number of people killed	死亡人数
siwanglu	mortality rate	死亡率
siren	dead person	死人
sirenbuguan	wash one's hands of a matter	死人不管
sizhang	fight bitterly	死仗
sixin	lost letter	死信
sishang	casualties	死伤
sishangzhe	casualty	死伤者
sixing	death penalty	死刑
sixinghuanqizhixing	deferred death sentence	死刑缓期执行
sibie	be parted by death	死别
sidaolintou	Death is near at hand.	死到临头
sijin	all one's strength	死劲
siqu	dead zone	死区
siqu	die	死去
siquhuolai	hover between life and death	死去活来
siming	doom	死命
siqiu	prisoner that awaits execution	死囚
siyin	cause of death	死因
siyinbuming	unknown cause of death	死因不明
sicheng	ghost town	死城
sizhai	die-hard otaku	死宅
siding	be screwed	死定
siji	deathly stillness	死寂
siduitou	arch-enemy	死对头
siju	hopeless situation	死局
sishi	corpse	死尸
sixiang	blind alley	死巷
sihou	after death	死后
sixunhuan	endless loop	死循环
sixin	give up	死心
sixintadi	be hell-bent on	死心塌地
sixinyanr	stubborn	死心眼儿
sixintadi	see 死心塌地[si3 xin1 ta1 di4]	死心踏地
sizhong	die-hard	死忠
sizhan	fight to the death	死战
sidiao	die	死掉
sidi	mortal enemy	死敌
siwenzi	dead language	死文字
siyufeiming	violent death	死于非命
siqi	time of death	死期
siban	rigid	死板
siqi	dead piece	死棋
siji	crash	死机
sisi	rigid	死死
siqichenchen	dead atmosphere	死气沉沉
sishui	stagnant water	死水
sihuo	life or death	死活
sihai	the Dead Sea	死海
sihaigujuan	Dead Sea Scrolls	死海古卷
sihaijingjuan	Dead Sea Scrolls	死海经卷
sihuoshan	extinct volcano	死火山
sihuifuran	lit. ashes burn once more	死灰复燃
siwuduizheng	the dead cannot testify	死无对证
siwuzangshenzhidi	die without a burial site	死无葬身之地
siqiu	dead ball	死球
